Marca temporal,1. Edad en años,2. Género,3. Etnia,4. Institución educativa,5. Área de residencia,6. ¿Cuenta con acceso a internet en casa?,7. ¿En qué año escolar estás actualmente?,8. ¿Qué idiomas hablas? (Selecciona todos los que apliquen),9. ¿Cuál es el nivel educativo más alto que han alcanzado tus padres o tutores? puede ser cualquiera de ellos,10. ¿En qué área de trabajo están involucrados tus padres o tutores?,11. ¿Cuál es el ingreso familiar mensual aproximado?,12. ¿Cuáles de las siguientes actividades te interesan? (Selecciona todas las que apliquen),"13. ¿Sientes la suficiente confianza al resolver ejercicios de matemáticas, razonamiento o lógica en general?",14. ¿Crees que las habilidades artísticas o las habilidades blandas pueden generar influencia en el aprendizaje en carreras de ciencias o tecnología?,15. ¿Crees tener el conocimiento para poder seguir una carrera que involucre la ciencia y la matemática?,16. ¿Cuáles de las siguientes actividades te gusta realizar?,17. ¿Qué asignaturas disfrutas más en el colegio?,18. ¿Cuál de las siguientes carreras te parece más atractiva?,19. ¿Quién influye más en tu decisión sobre qué estudiar en el futuro?,20. ¿Tus maestros te han animado a explorar temas relacionados con la ciencia o la tecnología?,21. ¿Qué opinan tus amigos sobre el estudio de disciplinas relacionadas con la tecnología o la ciencia?,22. ¿Qué tanto apoyo recibes de tu familia para estudiar temas relacionados con las matemáticas o la ciencia?,23. ¿Qué obstáculos sientes que podrías enfrentar al seguir una carrera STEAM?,24. ¿Qué sectores te interesan más para trabajar en el futuro?,25. ¿Qué tan optimista te sientes sobre tu futuro en una carrera que involucre tecnología o ciencia?,26. ¿Crees que tu carrera te brindará estabilidad económica?,27. ¿Qué esperas lograr con tu carrera en términos de impacto social o tecnológico?,28. ¿Crees que las innovaciones tecnológicas y la ciencia están mejorando la calidad de vida de las personas?,29. ¿Qué área consideras más importante para que avance tecnológicamente?,"30. ¿Cuál es la probabilidad de que selecciones una carrera relacionada con Ciencia, Tecnología, Ingeniería, Arte o Matemáticas (STEAM)?",31. ¿Qué tan informado/a te sientes sobre las diferentes opciones de carrera STEAM?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/02/2026 8:15:57,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Sector público,Menos de $500,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Encuentro fascinantes los misterios sin resolver., Me interesa trabajar con materiales físicos para crear arte., Disfruto explorando temas relacionados con arte y belleza visual.",2,4,2,"Analizar datos para encontrar patrones y conclusiones., Crear obras artísticas como pinturas, dibujos o esculturas., Compartir y recibir retroalimentación sobre tu arte.","Biología, Química, Arte, Lengua y literatura",Artista digital,Nadie en particular,4,Muy positivo,5,"Dificultad en las materias, Falta de motivación",Salud,3,5,Mejorar la calidad de vida de las personas,4,Salud,3,3
6/02/2026 8:16:35,16,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Universidad,Sector público,$1001 - $2000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas., Me gusta jugar ajedrez., Encuentro fascinantes los misterios sin resolver., Me gusta leer novelas de detectives.",3,2,3,Diseñar y construir estructuras o dispositivos prácticos.,"Química, Emprendimiento",Detective/Forense,Yo,4,Neutro,4,Falta de motivación,Salud,3,3,Mejorar la calidad de vida de las personas,2,Educación,2,1
6/02/2026 8:16:45,17,Masculino,Mestiza,Privada,Rural,Sí,Tercero de bachillerato,Español,Postgrado,Sector público,$501 - $1000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas., Disfruto explorando temas de ciencia ficción., Encuentro fascinantes los misterios sin resolver., Me interesa trabajar con materiales físicos para crear arte., Disfruto explorando temas relacionados con arte y belleza visual., Disfruto de actividades artísticas como música, teatro o literatura.",2,5,3,"Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos., Resolver problemas complejos de manera creativa., Crear obras artísticas como pinturas, dibujos o esculturas., Compartir y recibir retroalimentación sobre tu arte.","Física, Química, Arte, Lengua y literatura",Investigador/a científico/a,Redes sociales,3,Positivo,5,Dificultad en las materias,Salud,4,5,Innovar y crear nuevas tecnologías,5,Salud,3,5
6/02/2026 8:16:49,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés, Ruso, Código Morse",Bachillerato,Negocio propio,$1001 - $2000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas., Me siento atraído/a por temas relacionados con mecánica y automóviles., Encuentro fascinante la ingeniería y el diseño de soluciones., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Encuentro fascinantes los misterios sin resolver.",5,2,5,"Analizar datos para encontrar patrones y conclusiones., Aprender sobre nuevos descubrimientos científicos., Explorar nuevas tecnologías y sus impactos., Resolver problemas usando herramientas y software tecnológico., Diseñar y construir estructuras o dispositivos prácticos., Resolver problemas complejos de manera creativa., Analizar datos y realizar interpretaciones estadísticas., Resolver problemas matemáticos y encontrar soluciones eficientes.","Matemáticas, Física, Educacion Sexual",Ingenieria Electrica,Disfrutar la carrera y amar mi profesion,5,Negativo,5,"Falta de motivación, ",Tecnología,4,4,No estoy seguro(a),4,Medio ambiente,5,4
6/02/2026 8:16:59,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Sector privado,$2000 - $3000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto explorando y aprendiendo sobre seres vivos., Disfruto explorando temas de ciencia ficción., Disfruto de actividades artísticas como música, teatro o literatura.",2,4,3,"Explorar nuevas tecnologías y sus impactos., Analizar datos y realizar interpretaciones estadísticas.","Biología, Tecnología, Arte, Lengua y literatura",ninguna,tener una buena vida,5,Positivo,4,Dificultad en las materias,Salud,5,5,Contribuir a la sostenibilidad,5,Educación,4,3
6/02/2026 8:17:12,17,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Bachillerato,Sector privado,$1001 - $2000,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales.",3,3,3,"Explorar nuevas tecnologías y sus impactos., Resolver problemas complejos de manera creativa.","Biología, Química, Ciencias Sociales",Investigador/a científico/a,Nadie en particular,4,Positivo,3,Falta de motivación,Salud,4,4,Mejorar la calidad de vida de las personas,4,Salud,4,4
6/02/2026 8:17:16,17,Masculino,Mestiza,Privada,Rural,Sí,Tercero de bachillerato,"Español, Inglés",Universidad,Sector público,$1001 - $2000,"Me interesa trabajar con herramientas, máquinas y equipos., Disfruto arreglando o construyendo cosas físicas., Disfruto explorando y aprendiendo sobre seres vivos., Encuentro fascinante la ingeniería y el diseño de soluciones., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Me gusta jugar ajedrez.",5,3,5,"Analizar datos para encontrar patrones y conclusiones., Explorar nuevas tecnologías y sus impactos., Resolver problemas usando herramientas y software tecnológico., Diseñar y construir estructuras o dispositivos prácticos., Resolver problemas complejos de manera creativa., Resolver problemas matemáticos y encontrar soluciones eficientes.","Matemáticas, Biología, Física, Química, Tecnología",Desarrollador/a de software,Familia,3,Neutro,5,"Dificultad en las materias, Falta de motivación",Tecnología,5,5,Innovar y crear nuevas tecnologías,5,Energía,5,3
6/02/2026 8:17:20,17,Femenino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Postgrado,Sector privado,Prefiero no contestar,"Disfruto explorando y aprendiendo sobre seres vivos., Me interesa investigar fenómenos físicos, biológicos y/o culturales., Disfruto explorando temas de ciencia ficción., Encuentro fascinantes los misterios sin resolver., Disfruto explorando temas relacionados con arte y belleza visual.",3,3,2,"Aprender sobre nuevos descubrimientos científicos., Crear obras artísticas como pinturas, dibujos o esculturas., Compartir y recibir retroalimentación sobre tu arte.","Biología, Química, Lengua y literatura, Ciencias Sociales",Medicina,Nadie en particular,2,Neutro,2,"Dificultad en las materias, Falta de motivación",Salud,2,5,No estoy seguro(a),4,Salud,2,4
6/02/2026 8:17:27,18,Masculino,Mestiza,Privada,Urbana,Sí,Tercero de bachillerato,"Español, Inglés",Universidad,Sector público,$1001 - $2000,"Disfruto arreglando o construyendo cosas físicas., Me siento atraído/a por temas relacionados con mecánica y automóviles., Encuentro fascinante la ingeniería y el diseño de soluciones.",5,4,5,"Resolver problemas usando herramientas y software tecnológico., Diseñar y construir estructuras o dispositivos prácticos., Resolver problemas complejos de manera creativa.","Biología, Química",Desarrollador/a de software,Nadie en particular,5,Positivo,2,Falta de recursos educativos,Tecnología,5,5,Mejorar la calidad de vida de las personas,5,Salud,5,5
